Category,Question,SQL,Result,Condition,Table Used,Element
User/Student Information,Which major has the fewest students?,"SELECT TOP 1 WITH TIES
    M.major_name
FROM Students AS S
         JOIN Majors AS M
              ON S.major_id = M.major_id
GROUP BY
    M.major_name
ORDER BY
    COUNT(DISTINCT S.student_id);","[
  {
  ""major_name"": ""Artificial Intelligence""
  },
  {
  ""major_name"": ""Information Assurance""
  },
  {
  ""major_name"": ""Information System""
  },
  {
  ""major_name"": ""Software Engineering""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Majors', 'Students']","['AS', 'DISTINCT', 'FROM', 'GROUP BY', 'JOIN', 'ON', 'ORDER BY', 'SELECT', 'WITH']"
User/Student Information,Find information for user ID HE011.,"SELECT
  username, user_id, fullname, user_gender, user_dob, user_address
FROM Users
WHERE
  user_id = 'HE011';","[
  {
  ""username"": ""userk"",
  ""user_id"": ""HE011"",
  ""fullname"": ""Student K"",
  ""user_gender"": ""male"",
  ""user_dob"": ""2002-03-07"",
  ""user_address"": ""H\u1ea3i D\u01b0\u01a1ng""
  }
 ]","{""role"": ""Admin"", ""identity"": []}",['Users'],"['FROM', 'SELECT', 'WHERE']"
User/Student Information,List all students.,"SELECT
  S.student_id,
  U.fullname
FROM Students AS S
JOIN Users AS U
  ON S.student_id = U.user_id;","[
  {
  ""student_id"": ""HE001"",
  ""fullname"": ""Student A""
  },
  {
  ""student_id"": ""HE002"",
  ""fullname"": ""Student B""
  },
  {
  ""student_id"": ""HE003"",
  ""fullname"": ""Student C""
  },
  {
  ""student_id"": ""HE004"",
  ""fullname"": ""Student D""
  },
  {
  ""student_id"": ""HE005"",
  ""fullname"": ""Student E""
  },
  {
  ""student_id"": ""HE006"",
  ""fullname"": ""Student F""
  },
  {
  ""student_id"": ""HE007"",
  ""fullname"": ""Student G""
  },
  {
  ""student_id"": ""HE008"",
  ""fullname"": ""Student H""
  },
  {
  ""student_id"": ""HE009"",
  ""fullname"": ""Student I""
  },
  {
  ""student_id"": ""HE010"",
  ""fullname"": ""Student J""
  },
  {
  ""student_id"": ""HE011"",
  ""fullname"": ""Student K""
  },
  {
  ""student_id"": ""HE012"",
  ""fullname"": ""Student L""
  },
  {
  ""student_id"": ""HE013"",
  ""fullname"": ""Student M""
  },
  {
  ""student_id"": ""HE014"",
  ""fullname"": ""Student N""
  },
  {
  ""student_id"": ""HE015"",
  ""fullname"": ""Student O""
  },
  {
  ""student_id"": ""HE016"",
  ""fullname"": ""Student P""
  },
  {
  ""student_id"": ""HE017"",
  ""fullname"": ""Student Q""
  },
  {
  ""student_id"": ""HE018"",
  ""fullname"": ""Student R""
  },
  {
  ""student_id"": ""HE019"",
  ""fullname"": ""Student S""
  },
  {
  ""student_id"": ""HE020"",
  ""fullname"": ""Student T""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Students', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT']"
User/Student Information,List the names and IDs of all students.,"SELECT T1.fullname, T2.student_id 
FROM Users AS T1 
INNER JOIN Students AS T2 ON T1.user_id = T2.student_id","[
  {
  ""fullname"": ""Student A"",
  ""student_id"": ""HE001""
  },
  {
  ""fullname"": ""Student B"",
  ""student_id"": ""HE002""
  },
  {
  ""fullname"": ""Student C"",
  ""student_id"": ""HE003""
  },
  {
  ""fullname"": ""Student D"",
  ""student_id"": ""HE004""
  },
  {
  ""fullname"": ""Student E"",
  ""student_id"": ""HE005""
  },
  {
  ""fullname"": ""Student F"",
  ""student_id"": ""HE006""
  },
  {
  ""fullname"": ""Student G"",
  ""student_id"": ""HE007""
  },
  {
  ""fullname"": ""Student H"",
  ""student_id"": ""HE008""
  },
  {
  ""fullname"": ""Student I"",
  ""student_id"": ""HE009""
  },
  {
  ""fullname"": ""Student J"",
  ""student_id"": ""HE010""
  },
  {
  ""fullname"": ""Student K"",
  ""student_id"": ""HE011""
  },
  {
  ""fullname"": ""Student L"",
  ""student_id"": ""HE012""
  },
  {
  ""fullname"": ""Student M"",
  ""student_id"": ""HE013""
  },
  {
  ""fullname"": ""Student N"",
  ""student_id"": ""HE014""
  },
  {
  ""fullname"": ""Student O"",
  ""student_id"": ""HE015""
  },
  {
  ""fullname"": ""Student P"",
  ""student_id"": ""HE016""
  },
  {
  ""fullname"": ""Student Q"",
  ""student_id"": ""HE017""
  },
  {
  ""fullname"": ""Student R"",
  ""student_id"": ""HE018""
  },
  {
  ""fullname"": ""Student S"",
  ""student_id"": ""HE019""
  },
  {
  ""fullname"": ""Student T"",
  ""student_id"": ""HE020""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Students', 'Users']","['AS', 'FROM', 'INNER JOIN', 'ON', 'SELECT']"
User/Student Information,What is my role?,"SELECT T2.role_name
FROM UserRole AS T1
INNER JOIN Roles AS T2
  ON T1.role_id = T2.role_id
WHERE
  T1.user_id = 'HE001';","[
  {
  ""role_name"": ""Student""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}","['Roles', 'UserRole']","['AS', 'FROM', 'INNER JOIN', 'ON', 'ROLES', 'SELECT', 'WHERE']"
Courses,List all courses.,"SELECT
  course_id,
  course_name
FROM Courses;","[
  {
  ""course_id"": ""AIL"",
  ""course_name"": ""Machine Learning""
  },
  {
  ""course_id"": ""CEA"",
  ""course_name"": ""Computer Organization and Architecture""
  },
  {
  ""course_id"": ""CPV"",
  ""course_name"": ""Computer Vision""
  },
  {
  ""course_id"": ""CSI"",
  ""course_name"": ""Introduction to Computer Science""
  },
  {
  ""course_id"": ""IAA"",
  ""course_name"": ""Risk Management in Information Systems""
  },
  {
  ""course_id"": ""IAM"",
  ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
  ""course_id"": ""IAP"",
  ""course_name"": ""Policy Development in Information Assurance""
  },
  {
  ""course_id"": ""ISM"",
  ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
  ""course_id"": ""ISP"",
  ""course_name"": ""Information System Programming Project""
  },
  {
  ""course_id"": ""ITA"",
  ""course_name"": ""Information System Design & Analysis""
  },
  {
  ""course_id"": ""MAE"",
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""course_id"": ""NLP"",
  ""course_name"": ""Natural Language Processing""
  },
  {
  ""course_id"": ""SWD"",
  ""course_name"": ""Software Architecture and Design""
  },
  {
  ""course_id"": ""SWP"",
  ""course_name"": ""Software development project""
  },
  {
  ""course_id"": ""SWR"",
  ""course_name"": ""Software Requirement""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT']"
Courses,Please tell me about the Mathematics for Engineering course.,"SELECT
  *
FROM Courses
WHERE
  course_name = 'Mathematics for Engineering';","[
  {
  ""course_id"": ""MAE"",
  ""course_name"": ""Mathematics for Engineering"",
  ""no_credit"": ""3"",
  ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,How many courses are offered?,"SELECT
  COUNT(*)
FROM Courses;","[
  {
  """": ""15""
  }
 ]","{""role"": ""Student"", ""identity"": [""HE001""]}",['Courses'],"['FROM', 'SELECT']"
Courses,Which courses have 3 credits?,"SELECT
  course_id,
  course_name
FROM Courses
WHERE
  no_credit = 3;","[
  {
  ""course_id"": ""AIL"",
  ""course_name"": ""Machine Learning""
  },
  {
  ""course_id"": ""CEA"",
  ""course_name"": ""Computer Organization and Architecture""
  },
  {
  ""course_id"": ""CPV"",
  ""course_name"": ""Computer Vision""
  },
  {
  ""course_id"": ""CSI"",
  ""course_name"": ""Introduction to Computer Science""
  },
  {
  ""course_id"": ""IAA"",
  ""course_name"": ""Risk Management in Information Systems""
  },
  {
  ""course_id"": ""IAM"",
  ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
  ""course_id"": ""IAP"",
  ""course_name"": ""Policy Development in Information Assurance""
  },
  {
  ""course_id"": ""ISM"",
  ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
  ""course_id"": ""ISP"",
  ""course_name"": ""Information System Programming Project""
  },
  {
  ""course_id"": ""ITA"",
  ""course_name"": ""Information System Design & Analysis""
  },
  {
  ""course_id"": ""MAE"",
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""course_id"": ""NLP"",
  ""course_name"": ""Natural Language Processing""
  },
  {
  ""course_id"": ""SWD"",
  ""course_name"": ""Software Architecture and Design""
  },
  {
  ""course_id"": ""SWP"",
  ""course_name"": ""Software development project""
  },
  {
  ""course_id"": ""SWR"",
  ""course_name"": ""Software Requirement""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,What does the content of the Natural Language Processing course include?,"SELECT
  description
FROM Courses
WHERE
  course_name = 'Natural Language Processing';","[
  {
  ""description"": ""Explores the techniques and algorithms used to process and analyze human language, enabling applications like text analysis, chatbots, and translation systems.""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,Which course is named Machine Learning?,"SELECT
  *
FROM Courses
WHERE
  course_name = 'Machine Learning';","[
  {
  ""course_id"": ""AIL"",
  ""course_name"": ""Machine Learning"",
  ""no_credit"": ""3"",
  ""description"": ""An introduction to machine learning algorithms and their applications in solving problems through data-driven insights and predictions.""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,How many course names start with 'I'?,"SELECT
  COUNT(*)
FROM Courses
WHERE
  course_name LIKE 'I%';","[
  {
  """": ""3""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,Which courses have fewer than 4 credits?,"SELECT
  course_id,
  course_name
FROM Courses
WHERE
  no_credit < 4;","[
  {
  ""course_id"": ""AIL"",
  ""course_name"": ""Machine Learning""
  },
  {
  ""course_id"": ""CEA"",
  ""course_name"": ""Computer Organization and Architecture""
  },
  {
  ""course_id"": ""CPV"",
  ""course_name"": ""Computer Vision""
  },
  {
  ""course_id"": ""CSI"",
  ""course_name"": ""Introduction to Computer Science""
  },
  {
  ""course_id"": ""IAA"",
  ""course_name"": ""Risk Management in Information Systems""
  },
  {
  ""course_id"": ""IAM"",
  ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
  ""course_id"": ""IAP"",
  ""course_name"": ""Policy Development in Information Assurance""
  },
  {
  ""course_id"": ""ISM"",
  ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
  ""course_id"": ""ISP"",
  ""course_name"": ""Information System Programming Project""
  },
  {
  ""course_id"": ""ITA"",
  ""course_name"": ""Information System Design & Analysis""
  },
  {
  ""course_id"": ""MAE"",
  ""course_name"": ""Mathematics for Engineering""
  },
  {
  ""course_id"": ""NLP"",
  ""course_name"": ""Natural Language Processing""
  },
  {
  ""course_id"": ""SWD"",
  ""course_name"": ""Software Architecture and Design""
  },
  {
  ""course_id"": ""SWP"",
  ""course_name"": ""Software development project""
  },
  {
  ""course_id"": ""SWR"",
  ""course_name"": ""Software Requirement""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,"Show the courses, sorted by number of credits (lowest to highest).","SELECT
  course_id,
  course_name,
  no_credit
FROM Courses
ORDER BY
  no_credit;","[
  {
  ""course_id"": ""AIL"",
  ""course_name"": ""Machine Learning"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""CEA"",
  ""course_name"": ""Computer Organization and Architecture"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""CPV"",
  ""course_name"": ""Computer Vision"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""CSI"",
  ""course_name"": ""Introduction to Computer Science"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""IAA"",
  ""course_name"": ""Risk Management in Information Systems"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""IAM"",
  ""course_name"": ""Malware Analysis and Reverse Engineering"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""IAP"",
  ""course_name"": ""Policy Development in Information Assurance"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""ISM"",
  ""course_name"": ""Enterprise Resource Planning (ERP)"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""ISP"",
  ""course_name"": ""Information System Programming Project"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""ITA"",
  ""course_name"": ""Information System Design & Analysis"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""MAE"",
  ""course_name"": ""Mathematics for Engineering"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""NLP"",
  ""course_name"": ""Natural Language Processing"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""SWD"",
  ""course_name"": ""Software Architecture and Design"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""SWP"",
  ""course_name"": ""Software development project"",
  ""no_credit"": ""3""
  },
  {
  ""course_id"": ""SWR"",
  ""course_name"": ""Software Requirement"",
  ""no_credit"": ""3""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Courses'],"['FROM', 'ORDER BY', 'SELECT']"
Courses,"Which courses have the word ""Software"" in their name?","SELECT
  course_id,
  course_name
FROM Courses
WHERE
  course_name LIKE '%Software%';","[
  {
  ""course_id"": ""SWD"",
  ""course_name"": ""Software Architecture and Design""
  },
  {
  ""course_id"": ""SWP"",
  ""course_name"": ""Software development project""
  },
  {
  ""course_id"": ""SWR"",
  ""course_name"": ""Software Requirement""
  }
 ]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,Show the courses that do not have any description,"SELECT course_id, course_name
FROM Courses 
WHERE description IS NULL OR description = '';",[],"{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'IS', 'NULL', 'OR', 'SELECT', 'WHERE']"
Courses,Find the names of courses with credits greater than 3,SELECT course_name FROM Courses WHERE no_credit > 3;,[],"{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Classes,List all available classes.,"SELECT
  class_id
FROM Classes;","[
  {
  ""class_id"": ""AI01""
  },
  {
  ""class_id"": ""IA01""
  },
  {
  ""class_id"": ""IS01""
  },
  {
  ""class_id"": ""SE01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Classes'],"['FROM', 'SELECT']"
Classes,Show details for class 'SE01'.,"SELECT
  *
FROM Classes
WHERE
  class_id = 'SE01';","[
  {
  ""class_id"": ""SE01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Classes'],"['FROM', 'SELECT', 'WHERE']"
Classes,How many classes are offered?,"SELECT
  COUNT(*)
FROM Classes;","[
  {
  """": ""4""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['Classes'],"['FROM', 'SELECT']"
Classes,List all class with more than 30 students,"SELECT CC.class_id
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
GROUP BY CC.class_id
HAVING COUNT(DISTINCT E.student_id) > 30;",[],"{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Enrollments']","['AS', 'DISTINCT', 'FROM', 'GROUP BY', 'HAVING', 'JOIN', 'ON', 'SELECT']"
Classes,Find the classes that do not yet have any instructors assigned to them.,"SELECT class_id
FROM Classes
EXCEPT
SELECT DISTINCT class_id
FROM ClassCourse","[
  {
  ""class_id"": ""IS01""
  },
  {
  ""class_id"": ""SE01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Classes']","['DISTINCT', 'EXCEPT', 'FROM', 'SELECT']"
Classes,Display a list of classes and the number of courses that have been taught in each class.,"SELECT
  C.class_id,
  COUNT(CC.course_id) AS number_of_courses
FROM Classes AS C
LEFT JOIN ClassCourse AS CC
  ON C.class_id = CC.class_id
GROUP BY
  C.class_id;","[
  {
  ""class_id"": ""AI01"",
  ""number_of_courses"": ""3""
  },
  {
  ""class_id"": ""IA01"",
  ""number_of_courses"": ""2""
  },
  {
  ""class_id"": ""IS01"",
  ""number_of_courses"": ""0""
  },
  {
  ""class_id"": ""SE01"",
  ""number_of_courses"": ""0""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Classes']","['AS', 'FROM', 'GROUP BY', 'LEFT JOIN', 'ON', 'SELECT']"
Classes,Which classes have been assigned more than one course?,"SELECT
  CC.class_id
FROM ClassCourse AS CC
GROUP BY
  CC.class_id
HAVING
  COUNT(DISTINCT CC.course_id) > 1;","[
  {
  ""class_id"": ""AI01""
  },
  {
  ""class_id"": ""IA01""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}",['ClassCourse'],"['AS', 'DISTINCT', 'FROM', 'GROUP BY', 'HAVING', 'SELECT']"
Lecturers,Display a list of codes and names of instructors.,"SELECT
  L.lecturer_id,
  U.fullname
FROM Lecturers AS L
JOIN Users AS U
  ON L.lecturer_id = U.user_id;","[
  {
  ""lecturer_id"": ""LEC01"",
  ""fullname"": ""Giang""
  },
  {
  ""lecturer_id"": ""LEC04"",
  ""fullname"": ""Hai""
  },
  {
  ""lecturer_id"": ""LEC05"",
  ""fullname"": ""Phuong""
  },
  {
  ""lecturer_id"": ""LEC03"",
  ""fullname"": ""Trang""
  },
  {
  ""lecturer_id"": ""LEC02"",
  ""fullname"": ""Tuan""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Lecturers', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT']"
Lecturers,Information about the code and full name of the instructor named Trang.,"SELECT
  L.lecturer_id,
  U.fullname
FROM Lecturers AS L
JOIN Users AS U
  ON L.lecturer_id = U.user_id
WHERE   U.fullname like '%Trang%';","[
  {
  ""lecturer_id"": ""LEC03"",
  ""fullname"": ""Trang""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Lecturers', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Lecturers,List the lecturers belonging to the Software Engineering department.,"SELECT
  L.lecturer_id,
  U.fullname
FROM Lecturers AS L
JOIN Users AS U
  ON L.lecturer_id = U.user_id
JOIN Departments AS D
  ON L.dep_id = D.dep_id
WHERE
  D.dep_name = 'Software Engineering';","[
  {
  ""lecturer_id"": ""LEC02"",
  ""fullname"": ""Tuan""
  },
  {
  ""lecturer_id"": ""LEC04"",
  ""fullname"": ""Hai""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Departments', 'Lecturers', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Lecturers,"Find the lecturers whose code contains ""LEC"".","SELECT
  L.lecturer_id,
  U.fullname
FROM Lecturers AS L
JOIN Users as U ON L.lecturer_id = U.user_id
WHERE
  L.lecturer_id LIKE 'LEC%';","[
  {
  ""lecturer_id"": ""LEC01"",
  ""fullname"": ""Giang""
  },
  {
  ""lecturer_id"": ""LEC04"",
  ""fullname"": ""Hai""
  },
  {
  ""lecturer_id"": ""LEC05"",
  ""fullname"": ""Phuong""
  },
  {
  ""lecturer_id"": ""LEC03"",
  ""fullname"": ""Trang""
  },
  {
  ""lecturer_id"": ""LEC02"",
  ""fullname"": ""Tuan""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['Lecturers', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Lecturers,What are the names of the lecturers who teach the MAE subject?,"SELECT U.fullname
FROM ClassCourse AS CC
         JOIN Courses C ON C.course_id = CC.course_id
         JOIN Lecturers L on CC.lecturer_id = L.lecturer_id
        JOIN Users U on L.lecturer_id = U.user_id
WHERE C.course_id = 'MAE';","[
  {
  ""fullname"": ""Hai""
  },
  {
  ""fullname"": ""Giang""
  }
 ]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Courses', 'Lecturers', 'Users']","['AS', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
