Question,Condition,GeneratedSQL,ErrorMessage,Result
Which major has the fewest students?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT TOP 1 major_name FROM Majors ORDER BY (SELECT COUNT(*) FROM Students WHERE major_id = Majors.major_id) ASC,,"[
  {
    ""major_name"": ""Information Assurance""
  }
]"
Find information for user ID HE011.,"{""role"": ""Admin"", ""identity"": []}","SELECT u.username, u.fullname, u.user_gender, u.user_dob, u.user_address
FROM Users u
WHERE u.user_id = 'HE011';",,"[
  {
    ""username"": ""userk"",
    ""fullname"": ""Student K"",
    ""user_gender"": ""male"",
    ""user_dob"": ""2002-03-07"",
    ""user_address"": ""H\u1ea3i D\u01b0\u01a1ng""
  }
]"
List all students.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT student_id, major_id, start_date, start_semester
FROM Students;",,"[
  {
    ""student_id"": ""HE001"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE002"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE003"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE004"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE005"",
    ""major_id"": ""AI"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE006"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE007"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE008"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE009"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE010"",
    ""major_id"": ""IS"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE011"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE012"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE013"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE014"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE015"",
    ""major_id"": ""IA"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE016"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE017"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE018"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE019"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  },
  {
    ""student_id"": ""HE020"",
    ""major_id"": ""SE"",
    ""start_date"": ""2024-09-01"",
    ""start_semester"": ""FA24""
  }
]"
List the names and IDs of all students.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT student_id, fullname FROM Students JOIN Users ON Students.student_id = Users.user_id",,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E""
  },
  {
    ""student_id"": ""HE006"",
    ""fullname"": ""Student F""
  },
  {
    ""student_id"": ""HE007"",
    ""fullname"": ""Student G""
  },
  {
    ""student_id"": ""HE008"",
    ""fullname"": ""Student H""
  },
  {
    ""student_id"": ""HE009"",
    ""fullname"": ""Student I""
  },
  {
    ""student_id"": ""HE010"",
    ""fullname"": ""Student J""
  },
  {
    ""student_id"": ""HE011"",
    ""fullname"": ""Student K""
  },
  {
    ""student_id"": ""HE012"",
    ""fullname"": ""Student L""
  },
  {
    ""student_id"": ""HE013"",
    ""fullname"": ""Student M""
  },
  {
    ""student_id"": ""HE014"",
    ""fullname"": ""Student N""
  },
  {
    ""student_id"": ""HE015"",
    ""fullname"": ""Student O""
  },
  {
    ""student_id"": ""HE016"",
    ""fullname"": ""Student P""
  },
  {
    ""student_id"": ""HE017"",
    ""fullname"": ""Student Q""
  },
  {
    ""student_id"": ""HE018"",
    ""fullname"": ""Student R""
  },
  {
    ""student_id"": ""HE019"",
    ""fullname"": ""Student S""
  },
  {
    ""student_id"": ""HE020"",
    ""fullname"": ""Student T""
  }
]"
What is my role?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT r.role_name FROM UserRole ur JOIN Roles r ON ur.role_id = r.role_id WHERE ur.user_id = 'HE001';,,"[
  {
    ""role_name"": ""Student""
  }
]"
List all courses.,"{""role"": ""Student"", ""identity"": []}","SELECT course_id, course_name, no_credit, description FROM Courses",,"[
  {
    ""course_id"": ""AIL"",
    ""course_name"": ""Machine Learning"",
    ""no_credit"": 3,
    ""description"": ""An introduction to machine learning algorithms and their applications in solving problems through data-driven insights and predictions.""
  },
  {
    ""course_id"": ""CEA"",
    ""course_name"": ""Computer Organization and Architecture"",
    ""no_credit"": 3,
    ""description"": ""Focuses on the internal structure of computers, including how hardware components interact and function together to execute software.""
  },
  {
    ""course_id"": ""CPV"",
    ""course_name"": ""Computer Vision"",
    ""no_credit"": 3,
    ""description"": ""Covers the field of computer vision, focusing on techniques to enable computers to interpret and understand visual information from the world.""
  },
  {
    ""course_id"": ""CSI"",
    ""course_name"": ""Introduction to Computer Science"",
    ""no_credit"": 3,
    ""description"": ""An introductory course to the fundamental principles of computer science, including algorithms, data structures, and programming languages.""
  },
  {
    ""course_id"": ""IAA"",
    ""course_name"": ""Risk Management in Information Systems"",
    ""no_credit"": 3,
    ""description"": ""Teaches how to identify, assess, and mitigate risks in information systems to ensure the security and integrity of data.""
  },
  {
    ""course_id"": ""IAM"",
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""no_credit"": 3,
    ""description"": ""Provides students with the skills to analyze malicious software and understand its behavior through reverse engineering techniques.""
  },
  {
    ""course_id"": ""IAP"",
    ""course_name"": ""Policy Development in Information Assurance"",
    ""no_credit"": 3,
    ""description"": ""Focuses on creating policies and strategies to ensure the confidentiality, integrity, and availability of information in organizations.""
  },
  {
    ""course_id"": ""ISM"",
    ""course_name"": ""Enterprise Resource Planning (ERP)"",
    ""no_credit"": 3,
    ""description"": ""Provides knowledge of ERP systems and their role in managing core business processes such as finance, supply chain, and human resources.""
  },
  {
    ""course_id"": ""ISP"",
    ""course_name"": ""Information System Programming Project"",
    ""no_credit"": 3,
    ""description"": ""A project-based course that involves programming and developing an information system, helping students apply theoretical knowledge to real-world applications.""
  },
  {
    ""course_id"": ""ITA"",
    ""course_name"": ""Information System Design & Analysis"",
    ""no_credit"": 3,
    ""description"": ""Covers methods for designing and analyzing information systems to meet business needs, ensuring system efficiency and effectiveness.""
  },
  {
    ""course_id"": ""MAE"",
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  },
  {
    ""course_id"": ""NLP"",
    ""course_name"": ""Natural Language Processing"",
    ""no_credit"": 3,
    ""description"": ""Explores the techniques and algorithms used to process and analyze human language, enabling applications like text analysis, chatbots, and translation systems.""
  },
  {
    ""course_id"": ""SWD"",
    ""course_name"": ""Software Architecture and Design"",
    ""no_credit"": 3,
    ""description"": ""Focuses on designing robust and scalable software architectures, including the use of design patterns and best practices for system structuring.""
  },
  {
    ""course_id"": ""SWP"",
    ""course_name"": ""Software development project"",
    ""no_credit"": 3,
    ""description"": ""Provides students with hands-on experience in the entire software development lifecycle through the execution of a real-world project.""
  },
  {
    ""course_id"": ""SWR"",
    ""course_name"": ""Software Requirement"",
    ""no_credit"": 3,
    ""description"": ""Teaches the process of gathering, analyzing, and defining software requirements to ensure the development of effective software systems.""
  }
]"
Please tell me about the Mathematics for Engineering course.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, c.no_credit, c.description
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
JOIN Students s ON s.major_id = m.major_id
WHERE s.student_id = 'HE001' AND c.course_name LIKE '%Mathematics for Engineering%'",,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3,
    ""description"": ""This course will provide students with a solid foundation in essential mathematical concepts, including single-variable calculus, linear algebra, and vector spaces.""
  }
]"
How many courses are offered?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT COUNT(DISTINCT course_id) FROM Courses,,"[
  {
    """": 15
  }
]"
Which courses have 3 credits?,"{""role"": ""Student"", ""identity"": []}","SELECT course_name
FROM Courses
WHERE no_credit = 3;",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
What does the content of the Natural Language Processing course include?,"{""role"": ""Student"", ""identity"": []}",SELECT description FROM Courses WHERE course_id = (SELECT course_id FROM ClassCourse WHERE course_id = 'NLP'),,"[
  {
    ""description"": ""Explores the techniques and algorithms used to process and analyze human language, enabling applications like text analysis, chatbots, and translation systems.""
  }
]"
Which course is named Machine Learning?,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE course_name = 'Machine Learning';,,"[
  {
    ""course_name"": ""Machine Learning""
  }
]"
How many course names start with 'I'?,"{""role"": ""Student"", ""identity"": []}",SELECT COUNT(*) FROM Courses WHERE course_name LIKE 'I%',,"[
  {
    """": 3
  }
]"
Which courses have fewer than 4 credits?,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE no_credit < 4,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
"Show the courses, sorted by number of credits (lowest to highest).","{""role"": ""Training Manager"", ""identity"": []}","SELECT course_name, no_credit
FROM Courses
ORDER BY no_credit ASC;",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Computer Organization and Architecture"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Computer Vision"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Introduction to Computer Science"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Risk Management in Information Systems"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Policy Development in Information Assurance"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Programming Project"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Design & Analysis"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software Architecture and Design"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software development project"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Software Requirement"",
    ""no_credit"": 3
  }
]"
"Which courses have the word ""Software"" in their name?","{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE course_name LIKE '%Software%',,"[
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
Show the courses that do not have any description,"{""role"": ""Student"", ""identity"": []}",SELECT course_id FROM Courses WHERE description IS NULL,,[]
Find the names of courses with credits greater than 3,"{""role"": ""Student"", ""identity"": []}",SELECT course_name FROM Courses WHERE no_credit > 3,,[]
List all available classes.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT class_id FROM Classes,,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  },
  {
    ""class_id"": ""IS01""
  },
  {
    ""class_id"": ""SE01""
  }
]"
Show details for class 'SE01'.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, c.class_name
FROM Classes AS c
WHERE c.class_id = 'SE01';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'class_name'. (207) (SQLExecDirectW) executing query: SELECT c.class_id, c.class_name
FROM Classes AS c
WHERE c.class_id = 'SE01';",[]
How many classes are offered?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(DISTINCT class_id) FROM Classes,,"[
  {
    """": 4
  }
]"
List all class with more than 30 students,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
GROUP BY c.class_id
HAVING COUNT(DISTINCT e.student_id) > 30;",,[]
Find the classes that do not yet have any instructors assigned to them.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id
FROM Classes c
LEFT JOIN ClassCourse cc ON c.class_id = cc.class_id
WHERE cc.class_course_id IS NULL;",,"[
  {
    ""class_id"": ""IS01""
  },
  {
    ""class_id"": ""SE01""
  }
]"
Display a list of classes and the number of courses that have been taught in each class.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, COUNT(DISTINCT cc.course_id) AS NumberOfCourses
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
GROUP BY c.class_id;",,"[
  {
    ""class_id"": ""AI01"",
    ""NumberOfCourses"": 3
  },
  {
    ""class_id"": ""IA01"",
    ""NumberOfCourses"": 2
  }
]"
Which classes have been assigned more than one course?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT class_id FROM ClassCourse GROUP BY class_id HAVING COUNT(*) > 1,,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  }
]"
Display a list of codes and names of instructors.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Lecturers.lecturer_id, Users.fullname
FROM Lecturers
INNER JOIN Users ON Lecturers.lecturer_id = Users.user_id;",,"[
  {
    ""lecturer_id"": ""LEC01"",
    ""fullname"": ""Giang""
  },
  {
    ""lecturer_id"": ""LEC04"",
    ""fullname"": ""Hai""
  },
  {
    ""lecturer_id"": ""LEC05"",
    ""fullname"": ""Phuong""
  },
  {
    ""lecturer_id"": ""LEC03"",
    ""fullname"": ""Trang""
  },
  {
    ""lecturer_id"": ""LEC02"",
    ""fullname"": ""Tuan""
  }
]"
Information about the code and full name of the instructor named Trang.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_id, c.course_name, u.fullname
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Trang%';",,[]
List the lecturers belonging to the Software Engineering department.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.lecturer_id, U.fullname
FROM Lecturers AS L
JOIN Departments AS D ON L.dep_id = D.dep_id
JOIN Users AS U ON L.lecturer_id = U.user_id
WHERE D.dep_name = 'Software Engineering';",,"[
  {
    ""lecturer_id"": ""LEC02"",
    ""fullname"": ""Tuan""
  },
  {
    ""lecturer_id"": ""LEC04"",
    ""fullname"": ""Hai""
  }
]"
"Find the lecturers whose code contains ""LEC"".","{""role"": ""Training Manager"", ""identity"": []}",SELECT lecturer_id FROM Lecturers WHERE lecturer_id LIKE '%LEC%',,"[
  {
    ""lecturer_id"": ""LEC01""
  },
  {
    ""lecturer_id"": ""LEC02""
  },
  {
    ""lecturer_id"": ""LEC03""
  },
  {
    ""lecturer_id"": ""LEC04""
  },
  {
    ""lecturer_id"": ""LEC05""
  }
]"
What are the names of the lecturers who teach the MAE subject?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT L.fullname FROM Lecturers AS L JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id WHERE CC.course_id = 'MAE',Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT L.fullname FROM Lecturers AS L JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id WHERE CC.course_id = 'MAE',[]
List all departments.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT dep_name FROM Departments,,"[
  {
    ""dep_name"": ""Computing Fundamental""
  },
  {
    ""dep_name"": ""Artificial Intelligence""
  },
  {
    ""dep_name"": ""Information Assurance""
  },
  {
    ""dep_name"": ""Software Engineering""
  }
]"
Find the department named 'Computing Fundamental'.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT dep_id, dep_name FROM Departments WHERE dep_name = 'Computing Fundamental'",,"[
  {
    ""dep_id"": ""D01"",
    ""dep_name"": ""Computing Fundamental""
  }
]"
How many departments are there?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(*) FROM Departments;,,"[
  {
    """": 4
  }
]"
List all the majors offered.,"{""role"": ""Student"", ""identity"": []}",SELECT DISTINCT major_name FROM Majors,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Which major starts with the letter 'I'?,"{""role"": ""Student"", ""identity"": []}",SELECT major_name FROM Majors WHERE major_name LIKE 'I%',,"[
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  }
]"
List all of the academic programs.,"{""role"": ""Student"", ""identity"": []}",SELECT DISTINCT major_name FROM Majors,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
What are the permissions for the 'Student' role?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT p.permission_name
FROM Roles r
JOIN RolePermission rp ON r.role_id = rp.role_id
JOIN Permissions p ON rp.permission_id = p.permission_id
WHERE r.role_name = 'Student';",,[]
Which users have permission to 'EditCourse'?,"{""role"": ""Training Manager"", ""identity"": []}","Error generating SQL: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
]","Invalid SQL query provided to execute_sql_query: 'Error generating SQL: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 28
}
]'",[]
